id,Speech to Text,Video Intelligence api,Company,Upload date,Before,After,Target
-0jRvvt25RI,for me grammarly is akin to a writing assistant it's a editor on site in his sidekick that's just there to tell me like hey you're writing in passive voice or this is a really long run-on sentence get it together grammarly has truly help me streamline and make my thoughts succinct when communicating with others my favorite feature is the red underline it tells me there's something wrong with my writing and it helps me too quiet,[],grammarly,10-12-18,91,88,-0.03315220731690051
-1d_dssPb_Y,my prescriptions used to be really expensive but then I went to goodrx.com you put in the drug you're looking for canned bang you've got half a dozen or more choices in front of you a pricing and locations to get it I have good insurance but with GoodRx I save you the more money,"['drug', 'pharmaceutical drug', 'television advertisement', 'pharmacy']",goodrx,16-09-18,64,65,0.01526747213078838
-aI72mfYmxc,do you know if your body is ready for swimsuit season do you work out do not work out are you creating life are you embracing life are you a warrior your body is swimsuit ready what makes you really hot is your ability to fully enjoy your life,[],wework,20-02-19,68,72,0.05635293655113178
-azhsUHzetM,call me if you learn in Southbridge has plenty of things in life to feel sick over by an engagement ring should be one of them come see the team at Cormier Jewelers in Southbridge and we promise we will feel right as rain,"['plaid', 'logo']",cormiers,07-02-19,37,38,0.025975486403260736
-M03899TYdo,kids get your shoe Labs we take comfort seriously our scientist constantly experiment to discover the squishiest and comfy is things for your feet Skechers memory foam for kids kid approved,['footwear'],skechers,01-04-19,53,71,0.28768207245178085
-mm2-pznYE8,,"['poster', 'album cover', 'song']",Game of thrones games,14-03-19,13,16,0.1941560144409574
-qMnzO69fr8,,"['stage', 'song', 'choreography', 'performance art', 'performing arts', 'dancer', 'modern dance', 'performance', 'dance']",Ofenbach,12-04-19,22,22,0.0
-uxZ482i5jc,,"['furniture', 'television advertisement', 'room', 'dog', 'animal', 'pet', 'sitting']",credibly,20-03-19,52,79,0.41173472112175985
-WKkVn2XvdU,,[],danvadenbrunswick,16-04-19,71,0,-4.276666119016055
-Zup3T2O87g,just like a pro Express,['sports'],express,13-02-19,44,47,0.06453852113757116
07aiFJctH8U,what do you get when you add lettuce and tomato to McDonald's hot and deliciously juicy fresh beef Quarter Pounder you get fresh fresh on Fresh the new fresh beef Quarter Pounder spirit with any size soft drink or just one.,"['sandwich', 'cheeseburger', 'fast food', 'television advertisement', 'food', 'hamburger', 'junk food']",mcdonalds,01-04-19,66,64,-0.030305349495328922
07JR70g7-gI,tell fresh Unstopables in wash scent booster Downy Unstopables,['television advertisement'],downy Unstopables,08-04-19,50,52,0.03846628082779614
0Ie7HPAd5PM,how many emails documents and text messages have you already sent today grammarly helps you write easy-to-understand are free messages that people will want to read it simple to use and works wherever you're writing on your computer or your phone imagine what you'll achieve with the secret of the world's best writers at your fingertips anytime you need them are you ready to give it a try installation is simple and free visit grammarly.com and make your writing more effective today,"['presentation', 'company', 'business']",grammarly,14-02-19,83,83,0.0
0JLOH2hQGqg,how would I describe over paying on a used car but it's only carfax.com can give you the most accurate price based on the carfax report stop the shame of over and start your used car search today at carfax.com,[],carfax,03-04-19,91,84,-0.07913732055872386
0jLW18MObz4,I can't believe it and we just hit the motherload of soft serve ice cream now I can't believe how easy it was to save hundreds of dollars on my car insurance with Geico Geico believe it,"['military', 'army', 'military person', 'troop', 'soldier', 'war']",geico,24-02-19,94,99,0.05129329438755048
0pxO4FPGJZI,how do we tell people they get the best of both worlds with Sprint which and get an unlimited plan with the new Galaxy S10 release included no trade-in required,"['animation', 'mobile device', 'robot', 'gadget', 'mobile phone', 'television advertisement', 'smartphone', 'machine', 'consumer electronics']",sprint,29-03-19,71,70,-0.01398624197473984
0sTGML0C0cc,weekdays at 5 p.m. Eastern how did we get here the chalkboard comes to life this isn't an American idea is he breaks down today's issues he have to stop using the presidency and executive orders as weapons and explains the stories that actually matter to you that's the way it's supposed to work if a bill is unconstitutional your then supposed to be to it don't miss Glenn TV weekdays at 5 p.m. Eastern on Blaze TV,"['logo', 'trailer']",get blazetv,08-02-19,72,45,-0.4618180446592962
0WToZGfNWLw,,[],pronamel,02-04-19,81,100,0.20840126957700633
0wUhQyG8ehg,introducing Vega the first electric scooter that transforms into a mini bike and lightning sounds Transformers ride with power start with the charger with battery and performance brakes to know where is the VIN choose your path,"['scooter', 'sports', 'kick scooter', 'lawn', 'vehicle']",viro rides,05-11-18,29,40,0.31237468504215243
0zQbv40gD0w,we are Mouse we designed a phone case that can do this and they look like this we found that slim phone cases protective and protective phone cases broccoli so we designed a lot of phone cases carbon fiber ones metal ones curved ones Woodmont leather ones you name it we designed it and we tested them on real iPhone some survived oh my God I hate doing this,"['mobile device', 'gadget', 'mobile phone', 'smartphone', 'consumer electronics', 'vehicle', 'iphone']",mous,23-01-19,100,86,-0.14921239818667575
10CeO4OGjCQ,,"['mobile device', 'gadget', 'mobile phone', 'smartphone', 'telephone', 'consumer electronics', 'communication device', 'iphone']",apple,21-03-19,50,59,0.16251892949777494
1AsatmNeEM8,grown ups was telling you that mythical creatures don't exist since they're out there you know where to look and they need your help do you have what it takes to defend a dragon save a Sasquatch or champion of chupacabras will you join the Unicorn rescue Society hurry the creatures need you,"['animation', 'fictional character', 'animated cartoon', 'dvd']",Penguin middle school,16-04-19,34,35,0.028170876966696224
1I2nuATB-HI,,['animal'],apple,16-04-19,47,46,-0.02105340919783238
1My0CTm4jCQ,,"['mobile device', 'mobile phone', 'smartphone']",apple,21-03-19,50,59,0.16251892949777494
1NJ7jMPq0Z4,,"['presentation', 'brand', 'business', 'company', 'advertising', 'public speaking', 'public relations', 'new media', 'media']",Fox News,01-03-18,34,32,-0.058840500022933465
1OUQZsBaopQ,save some cheddar at the pump join the fuel rewards program and never pay full price for gas again it roll today and start saving on every fill every day at Shell,"['brand', 'logo']",pronamel,19-03-19,87,89,0.022472855852058576
1vI6l1oMe0Y,want to know how to help your horses come out on top it all starts with a healthy top line so we develop feeds with top-line balance for the right type amount and ratio of amino acids to build and strengthen muscles for healthy top-line you can see,"['horse', 'horse tack', 'horse like mammal', 'equestrianism', 'mare', 'animal', 'pasture', 'mane']",nutrena,16-02-18,49,25,-0.6539264674066639
1wiOISb-nhk,can I have a Michelob Ultra software is not old enough in the world Michelob Ultra no artificial colors or flavors Superior Light beer,"['alcohol', 'drink', 'beer', 'bottle', 'alcoholic beverage', 'glass bottle']",michelobultra,12-04-19,31,33,0.06062462181643484
1zz-VFi6yP8,,"['monochrome', 'song', 'black and white', 'black', 'monochrome photography']",ScHoolBoy Q,10-04-19,53,49,-0.07696104113612832
21bvj-gkSUo,if I could what I be open minded if you would teach me a system that will save on an average of two or three Strokes every round of golf would I be open-minded to listen it's not going to happen with a new driver or a new sandwich or Hunter but the beauty is that you can do it it doesn't take tremendous athletic ability but what it does take is a system that helps you get the guesswork out of your chipping and I can show you that,"['recreation', 'golf stroke mechanics', 'professional golfer', 'lawn', 'tee', 'outdoor recreation', 'golf course', 'golf club', 'putter', 'ball game', 'grass', 'games', 'golfer', 'player', 'golf equipment', 'grassland', 'sport venue', 'sports', 'tree', 'golf']",dannyedwardsgolf,17-12-18,38,0,-3.6635616461296463
2BqmRT0bJm0,worn shocks and struts can be dangerous to replace them with Duralast loaded struts to restore ride control and improve brain performance that come with a new spring install the compressor installation of safer and quicker which means less hassle more safety Duralast loaded struts available only at AutoZone,"['car', 'vehicle']",autozone,28-03-19,96,94,-0.020834086902842025
2CJnkJtZF2g,,"['pet', 'animal', 'cat']",petco,26-03-19,80,81,0.012270092591814401
2g_W8ZRLQa8,Butterfinger better Butterfinger better Butterfinger nobody to think all my better Butterfinger,"['motor vehicle', 'television advertisement', 'food', 'car', 'vehicle']",butterfinger,20-02-19,51,53,0.03774032798284711
2Kkow9v3BH4,,"['monochrome', 'black and white', 'black', 'text', 'graphics', 'font', 'logo']",apple,28-03-19,59,49,-0.1823215567939546
2l9KdKU2SSk,hi I'm Tom steyer and here's why we need you at needtoimpeach.com the question isn't whether he should be impeached anymore he's the most corrupt president in American history and we all know it the question now is how fast can we move past this President so we can build a more just and prosperous future please join the more than six and a half million Americans were demanding action now because there's nothing more powerful than the unified voice of the American people together we will make this happen go to needtoimpeach.com to add your name now,[],impeach trump,16-01-19,100,74,-0.297632403304949
2nFlVPmzA9I,what you haven't played World of Warships yet why the hell not playing World of Warships will allow you to walk on water the Yamato Avenged the Titanic Dodge the enemy have fun playing a survival minigame look down on others Torpedoes in your Macho again explore the depths of the sea track your parcel go to the beach see the world and finally sink the Yamato do anything you can imagine with World of Warships click here and try for yourself play for free on World of Warships. Com,"['naval ship', 'sea', 'watercraft', 'ship', 'warship', 'destroyer', 'battleship', 'navy']",worldofwarships,09-06-16,31,30,-0.0317486983145803
2o8kehh9ejk,are smart dogs the answer to distracted driving nope but Geico has a simple test turn on do not disturb while driving mode,"['dog', 'television advertisement']",geico,04-04-19,87,89,0.022472855852058576
2QEV6Kk2-xo,,"['nature', 'lawn']",pennington seeds,02-04-19,20,59,1.0498221244986776
2SGHMmXtvBs,,"['logo', 'trailer']",epicgames,17-04-19,36,36,0.0
2UDkEkVU700,,"['outerwear', 'jacket', 'shirt', 'collar', 'fashion', 'sleeve']",southerntide,05-04-19,30,34,0.12136085700426753
2vLvTzDMLVY,banks have been messing with you forever but they're fine print and confusing gibberish that's not right we give it to you straight with no hidden fees or sneaky disclaimer Ally do it right,['logo'],ally,28-03-19,62,67,0.07637297878457396
2xyk7bCUcWE,"the Portuguese kids are heading to the mainland mark your calendar from July 20th to 29th 2019 which one Portugal with Saga vacations and you're invited to come along and join a private City Tour port to a wine tasting in the Douro Valley and discover the vibrant capital of Lisbon and its historic neighborhoods about, and by the wall to we were planning a trip and it just so happened that the Portuguese kids was part of what soccer is offering and it was kind of a win-win for visits to all they do talk, not today Satan and cash guys trip of a lifetime super Raptor culture and a whole lot of delicious food and wine 14 total meals accommodations for 8 nights an English-speaking guy and then exclusive show from the Portuguese kids come on",[],portuguesekids,10-04-19,0,0,0.0
2ZAp9dS56j8,every year Executives from around the world turn to Harvard Business School Executive Education to propel their careers ignite their passions and reach their most ambitious goals Harvard Business School Executive Education go,"['school', 'building', 'student']",harvard business school,15-03-19,44,78,0.5627853626967018
3-6PCPAWvWg,listen to your mom. Go ahead and come over I can see who's online look what I found Xfinity X5 speed coverage and control you need manager Wi-Fi network from anywhere when you download the expired today,[],xfinity,08-04-19,78,82,0.049392755329576474
36TBtQ0ywMQ,are you ready let go I think I need a doctor you guys only on Adult Swim,"['animation', 'clip art', 'graphic design', 'illustration', 'song', 'animated cartoon', 'television advertisement', 'art', 'animal', 'fictional character', 'graphics']",adultswim,07-04-19,47,0,-3.871201010907891
